id,entity_id,CategoryName,sku,name,description,shortdesc,price,link,image,Brand,Rating,CaffeineType,Count,Flavored,Seasonal,Instock,Facebook,IsKCup
1030,2815,"",24101,"","","",44.95,http://www.coffeeforless.com/aloha-island-coffee-100-pure-estate-kona-coffee-pods-dark-roast-24ct-box.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-coffee-dark-roast-kona-coffee-pods-box_2.jpg,"",0,Caffeinated,24,"",No,No,1,""
1031,2816,"",36101,"","","",72.95,http://www.coffeeforless.com/aloha-island-coffee-100-pure-estate-kona-coffee-pods-dark-roast-36ct-box.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-coffee-dark-roast-kona-coffee-pods-box_3.jpg,"",0,Caffeinated,36,"",No,No,1,""
1032,2817,"",48101,"","","",81.95,http://www.coffeeforless.com/aloha-island-coffee-100-pure-estate-kona-coffee-pods-dark-roast-48ct-box.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-coffee-dark-roast-kona-coffee-pods-box_4.jpg,"",0,Caffeinated,48,"",No,No,1,""
1033,2818,"",18102,"","","",37.95,http://www.coffeeforless.com/aloha-island-coffee-100-pure-estate-kona-coffee-pods-medium-roast-18ct-box.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-coffee-estate-blend-medium-kona-coffee-pods-box_1.jpg,"",0,Caffeinated,18,"",No,No,1,""
1034,2819,"",24102,"","","",44.95,http://www.coffeeforless.com/aloha-island-coffee-100-pure-estate-kona-coffee-pods-medium-roast-24ct-box.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-coffee-estate-blend-medium-kona-coffee-pods-box_2.jpg,"",0,Caffeinated,24,"",No,No,1,""
1035,2820,"",36102,"","","",72.95,http://www.coffeeforless.com/aloha-island-coffee-100-pure-estate-kona-coffee-pods-medium-roast-36ct-box.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-coffee-estate-blend-medium-kona-coffee-pods-box_3.jpg,"",0,Caffeinated,36,"",No,No,1,""
1036,2821,"",48102,"","","",81.95,http://www.coffeeforless.com/aloha-island-coffee-100-pure-estate-kona-coffee-pods-medium-roast-48ct-box.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-coffee-estate-blend-medium-kona-coffee-pods-box_4.jpg,"",0,Caffeinated,48,"",No,No,1,""
1037,2822,"",18103,"","","",37.95,http://www.coffeeforless.com/aloha-island-coffee-100-pure-estate-kona-coffee-pods-espresso-roast-18ct-box.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-coffee-espresso-roast-kona-coffee-pods-box_1.jpg,"",0,Caffeinated,18,"",No,No,1,""
1038,2823,"",24103,"","","",44.95,http://www.coffeeforless.com/aloha-island-coffee-100-pure-estate-kona-coffee-pods-espresso-roast-24ct-box.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-coffee-espresso-roast-kona-coffee-pods-box_2.jpg,"",0,Caffeinated,24,"",No,No,1,""
1039,2824,"",36103,"","","",72.95,http://www.coffeeforless.com/aloha-island-coffee-100-pure-estate-kona-coffee-pods-espresso-roast-36ct-box.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-coffee-espresso-roast-kona-coffee-pods-box_3.jpg,"",0,Caffeinated,36,"",No,No,1,""
1040,2826,"",48103,"","","",81.95,http://www.coffeeforless.com/aloha-island-coffee-100-pure-estate-kona-coffee-pods-espresso-roast-48ct-box.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-coffee-espresso-roast-kona-coffee-pods-box_4.jpg,"",0,Caffeinated,48,"",No,No,1,""
